species,include,total_density.x,sampled_yr.x,presentyr.x,sampled_date.x,present_date.x,included.x,total_density.y,sampled_yr.y,presentyr.y,sampled_date.y,present_date.y,included.y,total_density,sampled_yr,present_yr,sampled_date,present_date,included
Actinastrum hantzchii var. fluviatile,1,15612.3,21,9,353,25,0,0,0,0,0,0,0,15612.3,21,9,353,25,0
Actinastrum hantzschii,1,28412.9,21,16,353,49,0,538.5,16,5,105,6,0,28951.4,37,21,458,55,0
Anabaena circinalis,1,543377.3,21,17,353,97,0,40130.798,16,13,105,26,0,583508.098,37,30,458,123,0
Anabaena flos-aquae,1,1700006.56,21,21,353,227,0,0,0,0,0,0,0,1700006.56,21,21,353,227,0
Anabaena scheremetievi,1,213373.7,21,17,353,92,0,0,0,0,0,0,0,213373.7,21,17,353,92,0
Ankistrodesmus braunii,1,35,21,1,353,2,0,0,0,0,0,0,0,35,21,1,353,2,0
Ankistrodesmus falcatus,1,72713.88,21,21,353,240,0,0,0,0,0,0,0,72713.88,21,21,353,240,0
Ankistrodesmus spiralis,1,13866.24,21,18,353,81,0,0,0,0,0,0,0,13866.24,21,18,353,81,0
Ankyra judayi,1,29730.32,21,9,353,99,0,0,0,0,0,0,0,29730.32,21,9,353,99,0
Aphanizomenon flos-aquae,1,4172241.4,21,20,353,196,0,0,0,0,0,0,0,4172241.4,21,20,353,196,0
Aphanothece clathrata,1,973,21,1,353,6,0,0,0,0,0,0,0,973,21,1,353,6,0
Asterionella formosa,1,61362.64,21,21,353,165,0,385.7,16,8,105,16,0,61748.34,37,29,458,181,0
Attheya zachariasi,1,62.6,21,2,353,3,0,0,0,0,0,0,0,62.6,21,2,353,3,0
Carteria cordiformis,1,3555.9,21,12,353,37,0,0,0,0,0,0,0,3555.9,21,12,353,37,0
Carteria globosa,1,10463.7,21,15,353,74,0,0,0,0,0,0,0,10463.7,21,15,353,74,0
Centriactus belanophorus,1,507.6,21,1,353,12,0,0,0,0,0,0,0,507.6,21,1,353,12,0
Ceratium hirundinella,1,809.5,21,10,353,29,0,26.8,16,3,105,5,0,836.3,37,13,458,34,0
Characium sp,1,462,21,1,353,1,0,0,0,0,0,0,0,462,21,1,353,1,0
Chlamydomonas spp.,1,95161.98,21,21,353,273,0,0,0,0,0,0,0,95161.98,21,21,353,273,0
Chromulina minuta,1,219241.4,21,9,353,116,0,0,0,0,0,0,0,219241.4,21,9,353,116,0
Chromulina sp.,1,320670.38,21,21,353,332,0,0,0,0,0,0,0,320670.38,21,21,353,332,0
Chroococcus limneticus,1,211239.8,21,11,353,67,0,392.9,16,3,105,5,0,211632.7,37,14,458,72,0
Chroococcus limneticus var. dispersus,1,57557.9,21,8,353,26,0,0,0,0,0,0,0,57557.9,21,8,353,26,0
Chroococcus limneticus var.elegans,1,150788.5,21,5,353,35,0,0,0,0,0,0,0,150788.5,21,5,353,35,0
