sp_pool,Exclude,Species,Grouping...4,Order,Family,Genus,Habitat,Grouping...9
Acant.verna,NA,Acanthocyclops vernalis,Copepod,Cyclopoida,NA,NA,NA,Cyclopoid
Acantl.curvi,1,Acantholeberis curvirostris,Cladocera,Diplostraca,NA,NA,NA,NA
Acrop.harpa,NA,Acroperus harpae,Cladocera,Anomopoda,Chydoridae,Chydorus,NA,Chydorid
Algla.lepto,NA,Agladiaptomus leptopus,Copepod,Calanoida,NA,NA,NA,Calanoid
Alona.sp,NA,Alona,Cladocera,Anomopoda,Chydoridae,Alona,NA,Chydorid
Alone.sp,NA,Alonella,Cladocera,Anomopoda,Chydoridae,Alonella,NA,Chydorid
Bosmina.sp,NA,Bosmina,Cladocera,Anomopoda,Bosminidae,Bosmina,NA,Bosmina
Bytho.long,NA,Bythotrephes longimanus,Bythotrephes,NA,NA,NA,NA,Bythotrephes
Cal.copepodite,1,Calanoid copepodid,NA,NA,NA,NA,NA,NA
Calanoida,NA,Calanoida,Copepod,Calanoida,NA,NA,NA,Calanoid
Campt.sp.,NA,Camptocercus,Cladocera,Anomopoda,Chydoridae,Camptocercus,NA,Chydorid
Cerio.lacus,NA,Ceriodaphnia lacustris,Cladocera,Anomopoda,Daphnidae,Ceriodaphnia,NA,Ceriodaphnia
Cerio.pulch,NA,Ceriodaphnia pulchella,Cladocera,Anomopoda,Daphnidae,Ceriodaphnia,NA,Ceriodaphnia
Cerio.quadr,NA,Ceriodaphnia quadrata,Cladocera,Anomopoda,Daphnidae,Ceriodaphnia,NA,Ceriodaphnia
Cerio.sp.,NA,Ceriodaphnia,Cladocera,Anomopoda,Daphnidae,Ceriodaphnia,NA,Ceriodaphnia
Chydo.bicor,NA,Chydorus bicornutus,Cladocera,Anomopoda,Chydoridae,Chydorus,NA,Chydorid
Chydo.favif,NA,Chydorus,Cladocera,Anomopoda,Chydoridae,Chydorus,NA,Chydorid
Chydo.sphae,NA,Chydorus sphaericus,Cladocera,Anomopoda,Chydoridae,Chydorus,NA,Chydorid
Cyc.copepodite,1,Cyclopoid copepodid,NA,NA,NA,NA,NA,NA
Cyclo.scuti,NA,Cyclops scutifer,Copepod,Cyclopoida,NA,NA,NA,Cyclopoid
Cyclopoida,NA,Cyclopoida,Copepod,Cyclopoida,NA,NA,NA,Cyclopoid
Daphn.ambig,NA,Daphnia ambigua,Cladocera,Anomopoda,Daphnidae,Daphnia,NA,Daphnia
Daphn.denti,NA,Daphnia denticornis,Cladocera,Anomopoda,Daphnidae,Daphnia,NA,Daphnia
Daphn.galea,NA,Daphnia galeata,Cladocera,Anomopoda,Daphnidae,Daphnia,NA,Daphnia
Daphn.pulex,NA,Daphnia pulex,Cladocera,Anomopoda,Daphnidae,Daphnia,NA,Daphnia
Daphn.remis,NA,Daphnia longiremis,Cladocera,Anomopoda,Daphnidae,Daphnia,NA,Daphnia
Daphn.retro,NA,Daphnia retrocurva,Cladocera,Anomopoda,Daphnidae,Daphnia,NA,Daphnia
Daphnia.sp.,NA,Daphnia.sp.,Cladocera,Anomopoda,Daphnidae,Daphnia,NA,Daphnia
Diacy.bicus,NA,Diacyclops biscuspidatus,Copepod,Cyclopoida,NA,NA,NA,Cyclopoid
Diacyclops.sp,NA,Diacyclops.sp,NA,NA,NA,NA,NA,Cyclopoid
Diaph.birge,NA,Diaphanosoma birgei,Cladocera,Ctenopoda,Sididae,Diaphanosoma,NA,Sididae
Diapt.copep,1,Diaptomus copepodid,NA,NA,NA,NA,NA,NA
Dispa.acuti,NA,Diparalona acutirostis,Cladocera,Anomopoda,Chydoridae,Disparalona,NA,Chydorid
Drepa.denta,1,Drepanopus,NA,NA,NA,NA,Marine,NA
Episc.lacus,NA,Epischura lacustris,Copepod,Calanoida,Temoridae,Epischura,NA,Calanoid
Epischura.sp,NA,Epischura,Copepod,Calanoida,Temoridae,Epischura,NA,Calanoid
Eucyc.agili,NA,Eucyclops agilis,Copepod,Cyclopoida,NA,NA,NA,Cyclopoid
Eucyc.elega,NA,Eucycyclops elegans,Copepod,Cyclopoida,NA,NA,NA,Cyclopoid
Eucyc.spera,NA,Eucyclops speratus,Copepod,Cyclopoida,NA,NA,NA,Cyclopoid
Eucyclops.sp,NA,Eucyclops.sp,Copepod,Cyclopoida,NA,NA,NA,Cyclopoid
Eurycercus.sp,NA,Eurycercus,Cladocera,Anomopoda,Eurycercidae,Eurycercus,NA,Eurycercus
Harpacticoida,1,Harpacticoid.sp,NA,NA,NA,NA,NA,NA
Holop.gibbe,NA,Holopedium gibberum,Cladocera,Ctenopoda,Holopedidiidae,Holopedium,NA,Holopedium
