"siteid","HydroBasin","Country","Region","SUB_AREA"
"G1012",7080047060,"USA","ILLINOIS",486
"G1013",7080047060,"USA","ILLINOIS",486
"G1014",7080047060,"USA","IOWA",486
"G1015",7080047060,"USA","IOWA",486
"G1016",7080047060,"USA","IOWA",486
"G1017",7080047060,"USA","IOWA",486
"G1020",7080047060,"USA","MISSOURI",486
"G1021",7080047060,"USA","MISSOURI",486
"G1022",7080047060,"USA","MISSOURI",486
"G1023",7080047060,"USA","MISSOURI",486
"G1024",7080047060,"USA","MISSOURI",486
"G1025",7080047060,"USA","MISSOURI",486
"G1026",7080047060,"USA","ILLINOIS",486
"G1027",7080047060,"USA","ILLINOIS",486
"G1028",7080047060,"USA","ILLINOIS",486
"G1029",7080047060,"USA","ILLINOIS",486
"G1030",7080047060,"USA","ILLINOIS",486
"G1031",7080047060,"USA","ILLINOIS",486
"G1032",7080047060,"USA","ILLINOIS",486
"G1033",7080047060,"USA","ILLINOIS",486
"G1034",7080047060,"USA","ILLINOIS",486
"G1035",7080047060,"USA","ILLINOIS",486
"G1036",7080047060,"USA","ILLINOIS",486
"G1037",7080047060,"USA","ILLINOIS",486
"G1038",7080047060,"USA","ILLINOIS",486
"G1039",7080047060,"USA","ILLINOIS",486
"G1040",7080047060,"USA","ILLINOIS",486
"G1041",7080047060,"USA","ILLINOIS",486
"G1042",7080047060,"USA","ILLINOIS",486
"G1043",7080047060,"USA","ILLINOIS",486
"G1044",7080047060,"USA","MISSOURI",486
"G1045",7080047060,"USA","MISSOURI",486
"G1046",7080047060,"USA","ILLINOIS",486
"G1047",7080047060,"USA","ILLINOIS",486
"G1048",7080047060,"USA","MISSOURI",486
"G1049",7080047060,"USA","MISSOURI",486
"G1050",7080047060,"USA","WISCONSIN",486
"G1051",7080047060,"USA","WISCONSIN",486
"G1052",7080047060,"USA","WISCONSIN",486
"G1053",7080047060,"USA","WISCONSIN",486
"G1054",7080047060,"USA","WISCONSIN",486
"G1055",7080047060,"USA","MINNESOTA",486
"G1056",7080047060,"USA","MINNESOTA",486
"G1058",7080047060,"USA","MINNESOTA",486
"G1059",7080047060,"USA","MINNESOTA",486
"G1060",7080047060,"USA","WISCONSIN",486
"G1061",7080047060,"USA","WISCONSIN",486
"G1062",7080047060,"USA","WISCONSIN",486
"G1063",7080047060,"USA","WISCONSIN",486
"G1064",7080047060,"USA","MINNESOTA",486
"G1065",7080047060,"USA","MINNESOTA",486
"G1066",7080047060,"USA","MINNESOTA",486
"G1067",7080047060,"USA","WISCONSIN",486
"G1068",7080047060,"USA","WISCONSIN",486
"G1069",7080047060,"USA","MINNESOTA",486
"G1070",7080047060,"USA","MINNESOTA",486
"G1071",7080047060,"USA","ILLINOIS",486
"G1072",7080047060,"USA","ILLINOIS",486
"G1073",7080047060,"USA","IOWA",486
"G1074",7080047060,"USA","IOWA",486
"G9014",7080034520,"CAN","ONTARIO",1567.3
"G10003",2080030160,"SWE","NORRBOTTEN",672
"G10016",2080030160,"SWE","NORRBOTTEN",672
"G10024",2080030160,"SWE","NORRBOTTEN",672
"G10029",2080030160,"SWE","NORRBOTTEN",672
"G10037",2080030220,"SWE","NORRBOTTEN",4427.8
"G10038",2080030160,"SWE","NORRBOTTEN",672
"G10040",2080030220,"SWE","NORRBOTTEN",4427.8
"G10043",2080030220,"SWE","NORRBOTTEN",4427.8
"G10046",2080030220,"SWE","NORRBOTTEN",4427.8
