source,STUDY_ID,newsite,REALM,TAXA,estimated_area_in_sqKm
BioTIME,57,57,Freshwater,fish,40
BioTIME,229,STUDY_ID_229_LAT35.04016_LON-83.36127,Freshwater,fish,1358
BioTIME,229,STUDY_ID_229_LAT35.11187_LON-83.39091,Freshwater,fish,1358
BioTIME,229,STUDY_ID_229_LAT35.14137_LON-83.29577,Freshwater,fish,1358
BioTIME,229,STUDY_ID_229_LAT35.15409_LON-83.48787,Freshwater,fish,1358
BioTIME,229,STUDY_ID_229_LAT35.15755_LON-83.38673,Freshwater,fish,1358
BioTIME,229,STUDY_ID_229_LAT35.2087_LON-83.3515,Freshwater,fish,1358
BioTIME,238,STUDY_ID_238_LAT43.06337_LON-89.36086,Freshwater,freshwater invertebrates,23.4
BioTIME,238,STUDY_ID_238_LAT43.09885_LON-89.40545,Freshwater,freshwater invertebrates,23.4
BioTIME,247,STUDY_ID_247_LAT43.18083_LON-75.92639,Freshwater,freshwater invertebrates,207
BioTIME,247,STUDY_ID_247_LAT43.18611_LON-75.77083,Freshwater,freshwater invertebrates,207
BioTIME,247,STUDY_ID_247_LAT43.19472_LON-75.85361,Freshwater,freshwater invertebrates,207
BioTIME,247,STUDY_ID_247_LAT43.21028_LON-75.92278,Freshwater,freshwater invertebrates,207
BioTIME,247,STUDY_ID_247_LAT43.22111_LON-76.04444,Freshwater,freshwater invertebrates,207
BioTIME,253,STUDY_ID_253_LAT46.00275_LON-89.61223,Freshwater,freshwater invertebrates,50.37
BioTIME,253,STUDY_ID_253_LAT46.00758_LON-89.60618,Freshwater,freshwater invertebrates,50.37
BioTIME,253,STUDY_ID_253_LAT46.00773_LON-89.70118,Freshwater,freshwater invertebrates,50.37
BioTIME,253,STUDY_ID_253_LAT46.02107_LON-89.61178,Freshwater,freshwater invertebrates,50.37
BioTIME,253,STUDY_ID_253_LAT46.02927_LON-89.66502,Freshwater,freshwater invertebrates,50.37
BioTIME,253,STUDY_ID_253_LAT46.03832_LON-89.62062,Freshwater,freshwater invertebrates,50.37
BioTIME,253,STUDY_ID_253_LAT46.04125_LON-89.68628,Freshwater,freshwater invertebrates,50.37
BioTIME,254,STUDY_ID_254_LAT43.09885_LON-89.40545,Freshwater,freshwater plants,1.74E-02
BioTIME,430,STUDY_ID_430_basin_80355,Freshwater,fish,1018302
BioTIME,430,STUDY_ID_430_basin_98961,Freshwater,fish,1018302
BioTIME,430,STUDY_ID_430_basin_100981,Freshwater,fish,1018302
BioTIME,430,STUDY_ID_430_basin_101416,Freshwater,fish,1018302
BioTIME,478,478,Freshwater,freshwater invertebrates,1
BioTIME,18,STUDY_ID_18_PLOT_1,Terrestrial,terrestrial plants,5.59E-06
BioTIME,18,STUDY_ID_18_PLOT_11,Terrestrial,terrestrial plants,5.59E-06
BioTIME,18,STUDY_ID_18_PLOT_12,Terrestrial,terrestrial plants,5.59E-06
BioTIME,18,STUDY_ID_18_PLOT_13,Terrestrial,terrestrial plants,5.59E-06
BioTIME,18,STUDY_ID_18_PLOT_14,Terrestrial,terrestrial plants,5.59E-06
BioTIME,18,STUDY_ID_18_PLOT_15,Terrestrial,terrestrial plants,5.59E-06
BioTIME,18,STUDY_ID_18_PLOT_16,Terrestrial,terrestrial plants,5.59E-06
BioTIME,18,STUDY_ID_18_PLOT_17,Terrestrial,terrestrial plants,5.59E-06
BioTIME,18,STUDY_ID_18_PLOT_18,Terrestrial,terrestrial plants,5.59E-06
BioTIME,18,STUDY_ID_18_PLOT_19,Terrestrial,terrestrial plants,5.59E-06
BioTIME,18,STUDY_ID_18_PLOT_2,Terrestrial,terrestrial plants,5.59E-06
BioTIME,18,STUDY_ID_18_PLOT_20,Terrestrial,terrestrial plants,5.59E-06
BioTIME,18,STUDY_ID_18_PLOT_21,Terrestrial,terrestrial plants,5.59E-06
BioTIME,18,STUDY_ID_18_PLOT_22,Terrestrial,terrestrial plants,5.59E-06
BioTIME,18,STUDY_ID_18_PLOT_23,Terrestrial,terrestrial plants,5.59E-06
